iter	Passed	Remaining
570	31652	23780
571	31706	23724
572	31770	23675
573	31829	23622
574	31879	23562
575	31936	23509
576	31990	23452
577	32048	23399
578	32107	23346
579	32172	23297
580	32233	23245
581	32297	23196
582	32359	23145
583	32417	23092
584	32485	23045
585	32557	23001
586	32630	22958
587	32686	22903
588	32742	22847
589	32801	22794
590	32854	22736
591	32911	22682
592	32970	22629
593	33036	22580
594	33093	22525
595	33143	22466
596	33197	22409
597	33249	22351
598	33302	22294
599	33351	22234
600	33405	22177
601	33480	22134
602	33536	22079
603	33590	22022
604	33651	21970
605	33705	21913
606	33768	21863
607	33825	21808
608	33872	21747
609	33925	21689
610	33978	21632
611	34045	21584
612	34107	21532
613	34172	21483
614	34247	21439
615	34311	21388
616	34374	21337
617	34443	21290
618	34496	21233
619	34558	21181
620	34610	21122
621	34671	21070
622	34723	21012
623	34779	20956
624	34836	20901
625	34890	20845
626	34941	20786
627	35005	20735
628	35068	20684
629	35130	20632
630	35206	20588
631	35271	20537
632	35329	20483
633	35401	20437
634	35467	20386
635	35524	20331
636	35574	20272
637	35634	20218
638	35687	20161
639	35736	20101
640	35793	20046
641	35857	19995
642	35916	19940
643	35972	19885
644	36021	19825
645	36076	19769
646	36129	19711
647	36182	19654
648	36240	19600
649	36292	19542
650	36344	19484
651	36419	19438
652	36473	19381
653	36520	19321
654	36575	19264
655	36623	19204
656	36685	19152
657	36736	19094
658	36785	19034
659	36842	18979
660	36896	18922
661	36953	18867
662	37012	18813
663	37068	18757
664	37134	18706
665	37192	18651
666	37261	18603
667	37328	18552
668	37396	18502
669	37451	18446
670	37504	18389
671	37557	18331
672	37609	18274
673	37661	18215
674	37710	18156
675	37763	18099
676	37822	18045
677	37879	17989
678	37937	17935
679	37989	17877
680	38056	17826
681	38115	17772
682	38167	17714
683	38219	17656
684	38278	17602
685	38325	17542
686	38389	17490
687	38434	17429
688	38499	17377
689	38553	17321
690	38613	17267
691	38661	17207
692	38712	17149
693	38768	17093
694	38830	17040
695	38883	16983
696	38940	16928
697	38992	16870
698	39044	16813
699	39101	16757
700	39159	16702
701	39221	16649
702	39295	16601
703	39353	16546
704	39415	16493
705	39468	16435
706	39525	16380
707	39582	16325
708	39639	16269
709	39696	16214
710	39753	16158
711	39806	16101
712	39862	16045
713	39924	15992
714	39984	15937
715	40041	15882
716	40104	15829
717	40173	15778
718	40216	15717
719	40271	15661
720	40332	15607
721	40394	15553
722	40451	15498
723	40509	15442
724	40567	15387
725	40619	15330
726	40672	15273
727	40727	15216
728	40778	15158
729	40831	15102
730	40886	15045
731	40936	14987
732	40993	14932
733	41053	14877
734	41112	14822
735	41169	14767
736	41219	14709
737	41270	14651
738	41323	14594
739	41377	14538
740	41435	14482
741	41490	14426
742	41547	14371
743	41604	14315
744	41658	14259
745	41728	14207
746	41795	14155
747	41875	14107
748	41936	14053
749	42002	14000
750	42068	13948
751	42137	13896
752	42212	13846
753	42274	13792
754	42326	13735
755	42378	13677
756	42436	13622
757	42491	13565
758	42542	13508
